Date,Incidence,Incidence_local,
01/03/2020,0,0,
02/03/2020,0,0,
03/03/2020,0,0,
04/03/2020,0,0,
05/03/2020,0,0,
06/03/2020,0,0,
07/03/2020,1,0,
08/03/2020,0,0,
09/03/2020,1,0,
10/03/2020,4,2,
11/03/2020,2,1,
12/03/2020,6,2,
13/03/2020,13,6,
14/03/2020,8,2,
15/03/2020,12,12,
16/03/2020,5,3,
17/03/2020,8,5,
18/03/2020,16,10,
19/03/2020,13,8,
20/03/2020,16,9,
21/03/2020,10,7,
22/03/2020,6,5,
23/03/2020,13,10,
24/03/2020,18,11,
25/03/2020,13,9,
26/03/2020,34,25,
27/03/2020,31,29,
28/03/2020,26,21,
29/03/2020,33,23,
30/03/2020,37,29,
31/03/2020,39,28,
01/04/2020,29,21,
02/04/2020,47,33,
03/04/2020,21,19,
04/04/2020,25,18,
05/04/2020,9,7,
06/04/2020,37,31,
07/04/2020,39,28,
08/04/2020,23,18,
09/04/2020,17,9,
10/04/2020,18,9,
11/04/2020,37,26,
12/04/2020,22,5,
13/04/2020,26,11,
14/04/2020,25,14,
15/04/2020,15,11,
16/04/2020,9,9,
17/04/2020,4,3,
18/04/2020,5,4,
19/04/2020,0,0,
20/04/2020,11,11,
21/04/2020,6,2,
22/04/2020,7,7,
23/04/2020,13,9,
24/04/2020,2,2,
25/04/2020,9,2,
26/04/2020,4,2,
27/04/2020,16,15,
28/04/2020,5,3,
29/04/2020,9,7,
30/04/2020,7,4,
01/05/2020,7,6,
02/05/2020,3,3,
03/05/2020,2,0,
04/05/2020,4,4,
05/05/2020,5,5,
06/05/2020,6,5,
07/05/2020,2,2,
08/05/2020,3,3,
09/05/2020,8,6,
10/05/2020,1,0,
11/05/2020,0,0,
12/05/2020,3,3,
13/05/2020,2,1,
14/05/2020,3,3,
15/05/2020,2,2,
16/05/2020,4,4,
17/05/2020,0,0,
18/05/2020,1,1,
19/05/2020,5,4,
20/05/2020,3,3,
21/05/2020,8,4,
22/05/2020,1,1,
23/05/2020,2,1,
24/05/2020,0,0,
25/05/2020,2,2,
26/05/2020,0,0,
27/05/2020,3,2,
28/05/2020,0,0,
29/05/2020,2,2,
30/05/2020,3,0,
31/05/2020,1,1,
